,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
36896,136916,Brasserie Dachouffe Cherry Chouffe Fruit Beer,1436,4.757,Beer,Specialty Beer,12,0,,Achouffe,Belgium,8.0,20.0,,,,"Chocolate desserts, Grilled pork chops, Blue cheese",,,,,,Fruit Beer,,Brasserie d'Achouffe
36897,136917,Brasserie Dachouffe Cherry Chouffe,1436,4.757,Beer,Specialty Beer,12,0,,Achouffe,Belgium,8.0,20.0,,,,"Chocolate desserts, Grilled pork chops, Blue cheese",,,,,,Fruit Beer,,Brasserie d'Achouffe
36898,136918,Brasserie De Silly Pink Killer,1408,4.734,Beer,Specialty Beer,12,0,,Silly,Belgium,8.5,25.0,,,,"Spicy Thai curry, Grilled salmon, Dark chocolate.",,,,,,Fruit Beer,,Brasserie De Silly
36899,136919,Brasserie Dubuisson Peche Mel Scaldis Fruit Beer,1413,4.734,Beer,Specialty Beer,12,0,,Pipaix,Belgium,8.5,27.0,,,,"Spicy Thai food, Grilled chicken, Dark chocolate",,,,,,Fruit Beer,,Brasserie Dubuisson
36910,136930,Brouwerij Van Honsebrouck Kasteel Rouge Fruit Beer,1710,4.824999999999999,Beer,Specialty Beer,12,0,,Ingelmunster,Belgium,8.0,8.0,,,,"Chocolate desserts, BBQ ribs, Charcuterie plate",,,,,,Fruit Beer,,Brouwerij Van Honsebrouck
36911,136931,Brouwerij Verhaeghe Barbe Ruby Cherry Ale,1715,4.787,Beer,Specialty Beer,12,0,,West Flanders,Belgium,7.7,20.0,,,,"Chocolate, Duck, Pork",,,,,,Fruit Beer,,Brouwerij Verhaeghe
36919,136939,Burgkopf Grapefruit Beer,1815,4.213000000000001,Beer,Specialty Beer,12,0,,Cologne,Germany,4.8,35.0,,,,"Spicy Thai curry, Grilled shrimp, Citrus salad",,,,,,Fruit Beer,,Burgkopf
36920,136940,Burgkopf Grapefruit Fruit Beer,1815,4.070000000000001,Beer,Specialty Beer,12,0,,Rheinland-Pfalz,Germany,4.2,25.0,,,,"Spicy Thai curry, Grilled shrimp, Citrus salad",,,,,,Fruit Beer,,Burgkopf
36921,136941,Burgkopf Kriek Ale Cherry Ale,1816,4.176000000000001,Beer,Specialty Beer,12,0,,Brussels,Belgium,6.5,6.0,,,,"Chocolate desserts, Grilled pork chops, Brie cheese",,,,,,Fruit Beer,,Burgkopf.
36928,136948,Cassissona Black Currant,1077,4.6979999999999995,Beer,Specialty Beer,12,0,,Parma,Italy,7.5,10.0,,,,"Chocolate desserts, Roasted duck, Aged gouda cheese",,,,,,Fruit Beer,,Birrificio Del Ducato
36952,136972,Conti Di Buscareto Ale Birra Rosa,2361,4.810999999999999,Beer,Specialty Beer,12,0,,Marche,Italy,6.5,35.0,,,,"Pizza, Grilled Chicken, Chocolate Cake",,,,,,Fruit Beer,,Conti Di Buscareto
36961,136981,Dargett Prunus Armeniaca Apricot Ale,2573,4.766999999999999,Beer,Specialty Beer,12,0,,Yerevan,Armenia,5.5,25.0,,,,"Spicy Thai curry, Grilled chicken, Apricot tart",,,,,,Fruit Beer,,Dargett Brewing Company
36975,136996,Dubuisson Scaldis Peche Mel,2842,4.800000000000001,Beer,Specialty Beer,12,0,,Pipaix,Belgium,8.5,27.0,,,,"Spicy Thai food, Grilled pork chops, Peach cobbler",,,,,,Fruit Beer,,Dubuisson
36981,137002,Edge Sangria Sour,2940,4.773999999999999,Beer,Specialty Beer,12,0,,Barcelona,Spain,6.0,15.0,,,,"Spicy Thai food, Grilled chicken, Fruit salad",,,,,,Fruit Beer,,Edge Brewing
37003,137024,Floris Apple,1690,4.709999999999996,Beer,Specialty Beer,12,0,,Melle,Belgium,3.6,8.0,,,,"Pork, Salad, Cheese",,,,,,Fruit Beer,,Brouwerij Huyghe
37014,137035,Freigeist Abraxxxas Pear,3503,4.7884666666666655,Beer,Specialty Beer,12,0,,Cologne,Germany,6.0,20.0,,,,"Spicy Thai food, Grilled chicken, Pear tart",,,,,,Fruit Beer,,Freigeist.
37015,137036,Freigeist Kopenickiade Peach,3503,4.898999999999999,Beer,Specialty Beer,12,0,,Cologne,Germany,6.0,25.0,,,,"Spicy Thai curry, Grilled chicken, Peach cobbler",,,,,,Fruit Beer,,Freigeist.
37017,137038,Fruli Strawberry Beer,1690,4.707999999999997,Beer,Specialty Beer,12,0,,Melle,Belgium,4.1,15.0,,,,"Cheese, Salad, Chocolate",,,,,,Fruit Beer,,Brouwerij Huyghe
37038,137059,Grieskirchner Radler,3853,4.748999999999994,Beer,Specialty Beer,12,0,,Grieskirchen,Austria,2.5,8.0,,,,"Sausages, Pretzels, Grilled Chicken",,,,,,Fruit Beer,,Grieskirchner Brauerei
37042,137063,Guinness Salt And Lime Ale,3893,4.6099999999999985,Beer,Specialty Beer,12,0,,Dublin,Ireland,4.2,45.0,,,,"Fish and chips, Grilled shrimp tacos, Spicy chicken wings",,,,,,Fruit Beer,,Guinness
37043,137064,Haandbryggeriet Krekling Fruit Beer,3919,4.798,Beer,Specialty Beer,12,0,,Drammen,Norway,7.5,7.0,,,,"Cheese, Duck, Chocolate",,,,,,Fruit Beer,,Haandbryggeriet
37062,137083,Huyghe Floris Framboise Fruit Beer,4370,4.775999999999996,Beer,Specialty Beer,12,0,,Melle,Belgium,3.6,15.0,,,,"Chocolate desserts, grilled chicken, mixed berries",,,,,,Fruit Beer,,Huyghe Brewery
37071,137092,Kasteel Brouwerij Vanhonsebrouck Kasteel Rouge Fruit Beer,4692,4.806000000000001,Beer,Specialty Beer,12,0,,Ingelmunster,Belgium,8.0,8.0,,,,"Chocolate desserts, BBQ ribs, Charcuterie plate",,,,,,Fruit Beer,,Kasteel Brouwerij Vanhonsebrouck
37072,137093,Kasteel Nitro Rouge Fruit Beer,1710,4.806,Beer,Specialty Beer,12,0,,Ingelmunster,Belgium,8.0,27.0,,,,"Chocolate desserts, grilled pork chops, creamy cheeses",,,,,,Fruit Beer,,Brouwerij Van Honsebrouck
37073,137094,Kasteel Rouge,1710,4.82,Beer,Specialty Beer,12,0,,Ingelmunster,Belgium,8.0,15.0,,,,"Chocolate, Duck, Cherry pie",,,,,,Fruit Beer,,Brouwerij Van Honsebrouck
37077,137098,Kerkom Bloesem Kriek,1692,4.7909999999999995,Beer,Specialty Beer,12,0,,Lummen,Belgium,7.0,15.0,,,,"Duck, Chocolate, Cheesecake",,,,,,Fruit Beer,,Brouwerij Kerkom
37080,137101,Lab Partner Blackcurrant Gose,5584,4.5573333333333315,Beer,Specialty Beer,12,0,,Copenhagen,Denmark,4.5,10.0,,,,"Grilled chicken, Goat cheese, Mixed berries",,,,,,Fruit Beer,,Mikkeller
37090,137111,Leibinger Seeradler,5021,4.523,Beer,Specialty Beer,12,0,,Baden-Württemberg,Germany,4.9,22.0,,,,"Fish, Chicken, Salad",,,,,,Fruit Beer,,Leibinger Brauhaus
37092,137113,Leireken Wild Berries,1674,4.726000000000001,Beer,Specialty Beer,12,0,,Erpe-Mere,Belgium,6.5,15.0,,,,"Cheese, Grilled Chicken, Dark Chocolate",,,,,,Fruit Beer,,Brouwerij De Glazen Toren
37093,137114,Liefmans Cuvee Brut,5063,4.6295,Beer,Specialty Beer,12,0,,Oudenaarde,Belgium,6.0,9.0,,,,"Duck, Dark Chocolate, Blue Cheese",,,,,,Fruit Beer,,Liefmans
37094,137115,Liefmans Fruitesse,5063,4.580499999999999,Beer,Specialty Beer,12,0,,Oudenaarde,Belgium,4.2,9.0,,,,"Cheese, Chocolate, Salad",,,,,,Fruit Beer,,Liefmans
37095,137116,Lindemans Cassis Lambic,5078,4.454966666666669,Beer,Specialty Beer,12,0,,Vlezenbeek,Belgium,3.5,20.0,,,,"Chocolate, Duck, Salad",,,,,,Fruit Beer,,Lindemans
37103,137124,Lovebeer Nebiulin A,5243,3.787,Beer,Specialty Beer,12,0,,Turin,Italy,6.5,45.0,,,,"Spicy Thai curry, Grilled sausages, Dark chocolate.",,,,,,Fruit Beer,,Lovebeer
37114,137135,Marble Rita Gose,5410,4.643666666666665,Beer,Specialty Beer,12,0,,Manchester,United Kingdom,4.1,10.0,,,,"Tacos, Ceviche, Watermelon",,,,,,Fruit Beer,,Marble Brewery
37119,137140,Mcales Green Apple Ale,5503,4.613999999999997,Beer,Specialty Beer,12,0,,Dublin,Ireland,5.0,15.0,,,,"Spicy chicken wings, Grilled pork chops, Apple pie",,,,,,Fruit Beer,,Mcales
37127,137148,Mikkeller Mexas Ranger,5584,3.8099999999999996,Beer,Specialty Beer,12,0,,Copenhagen,Denmark,6.6,70.0,,,,"Spicy Mexican dishes, BBQ ribs, Chocolate desserts",,,,,,Fruit Beer,,Mikkeller
37128,137149,Mikkeller Ris A La Male,5584,4.692500000000001,Beer,Specialty Beer,12,0,,Copenhagen,Denmark,10.9,25.0,,,,"Duck, Chocolate, Blue Cheese",,,,,,Fruit Beer,,Mikkeller
37129,137150,Mikkeller Spontanrosehip,5584,4.6998,Beer,Specialty Beer,12,0,,Copenhagen,Denmark,7.7,7.0,,,,"Cheese, Charcuterie, Duck",,,,,,Fruit Beer,,Mikkeller
37172,137193,Paperback Brewing Company Mr Smooth Goes To Hollywood Fruited,6375,4.754999999999998,Beer,Specialty Beer,12,0,,Bristol,United Kingdom,6.5,25.0,,,,"Spicy Thai curry, Grilled chicken tacos, Lemon sorbet",,,,,,Fruit Beer,,Paperback Brewing Company
37173,137194,Paulaner Grapefruit Radler,6408,4.748133333333331,Beer,Specialty Beer,12,0,,Munich,Germany,2.5,12.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,,Paulaner
37199,137220,Quarta Runa Wpeaches,1077,4.5969999999999995,Beer,Specialty Beer,12,0,,Parma,Italy,6.5,6.0,,,,"Grilled chicken, Peach cobbler, Gouda cheese",,,,,,Fruit Beer,,Birrificio Del Ducato
37229,137250,Rutland How She Gose Fruit Beer,7142,4.868999999999999,Beer,Specialty Beer,12,0,,Rutland,United Kingdom,4.2,10.0,,,,"Seafood, Salad, Cheesecake",,,,,,Fruit Beer,,Rutland Beer Company
37232,137253,Sam Smith Organic Raspberry,7188,4.855999999999998,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,15.0,,,,"Chocolate desserts, grilled chicken, goat cheese",,,,,,Fruit Beer,,Samuel Smith Brewery
37233,137254,Sam Smith Organic Strawberry,7188,4.844999999999999,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,7.0,,,,"Cheese, Salad, Chocolate",,,,,,Fruit Beer,,Samuel Smith Brewery
37235,137256,Samuel Smith Cherry,7193,4.844999999999999,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,6.0,,,,"Chocolate, BBQ ribs, Cheesecake",,,,,,Fruit Beer,,Samuel Smith.
37236,137257,Samuel Smith Old Organic Apricot Ale,7193,4.858999999999998,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.0,15.0,,,,"Spicy Thai curry, Grilled chicken, Goat cheese",,,,,,Fruit Beer,,Samuel Smith.
37237,137258,Samuel Smith Organic Apricot,7187,4.855999999999998,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,15.0,,,,"Spicy Thai curry, Grilled chicken, Peach cobbler",,,,,,Fruit Beer,,Samuel Smith
37238,137259,Samuel Smith Organic Cherry,7187,4.844999999999999,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,6.0,,,,"Chocolate desserts, grilled pork chops, roasted duck",,,,,,Fruit Beer,,Samuel Smith
37239,137260,Samuel Smith Organic Strawberry Fruit Ale,7187,4.855999999999998,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,15.0,,,,"Cheese, Salad, Chocolate",,,,,,Fruit Beer,,Samuel Smith
37240,137261,Samuel Smith Organic Strawberry Fruit Beer,7193,4.855999999999998,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,15.0,,,,"Cheese, Salad, Chocolate",,,,,,Fruit Beer,,Samuel Smith.
37241,137262,Samuel Smiths Organic Raspberry,7189,4.844999999999999,Beer,Specialty Beer,12,0,,Tadcaster,United Kingdom,5.1,5.0,,,,"Chocolate desserts, grilled chicken, goat cheese",,,,,,Fruit Beer,,Samuel Smith's
37252,137273,Sesma Prunus Persica,7361,4.858999999999998,Beer,Specialty Beer,12,0,,Madrid,Spain,6.5,25.0,,,,"Pork, Cheese, Salad",,,,,,Fruit Beer,,Sesma Brewing Company
37254,137275,Astra Gf Radler,511,4.655999999999999,Beer,Specialty Beer,12,57,,Hamburg,Germany,2.5,8.0,,,,"Grilled chicken, Salad, Fruit",,,,,,Fruit Beer,Shandy,Astra.
37259,137280,Bazant Radler Citron,834,4.662999999999999,Beer,Specialty Beer,12,57,,Bratislava,Slovakia,2.0,8.0,,,,"Salad, Grilled Chicken, Lemon Tart",,,,,,Fruit Beer,Shandy,Bazant
37263,137284,Bitburger Lemon Radler,1105,4.6869999999999985,Beer,Specialty Beer,12,57,,Bitburg,Germany,2.5,8.0,,,,"Suggested food pairings: Grilled chicken, Salad, Pretzels",,,,,,Fruit Beer,Shandy,Bitburger
37264,137285,Bitburger Radler,1107,4.6869999999999985,Beer,Specialty Beer,12,57,,Bitburg,Germany,2.5,8.0,,,,"Suggested food pairings for Bitburger Radler: Fish, Chicken, Salad",,,,,,Fruit Beer,Shandy,Bitburger Braugruppe
37284,137305,Dab Lemon Radler Radler,2555,4.735999999999995,Beer,Specialty Beer,12,57,,Dortmund,Germany,2.5,8.0,,,,"Grilled chicken, Salad, Fruit platter",,,,,,Fruit Beer,Shandy,Dab
37291,137312,Eggenberg Grapefruit Radler,2956,4.727999999999995,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Spicy Thai curry, Grilled shrimp, Mixed greens salad",,,,,,Fruit Beer,Shandy,Eggenberg
37292,137313,Eggenberg Naturtrub Radler,2957,4.727999999999995,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Suggested food pairings: Grilled chicken, Salad, Light desserts",,,,,,Fruit Beer,Shandy,Eggenberg.
37293,137314,Eggenberg Radler,2957,4.727999999999995,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Sausages, Pretzels, Grilled Chicken",,,,,,Fruit Beer,Shandy,Eggenberg.
37294,137315,Egger Peach Radler,2958,4.727999999999995,Beer,Specialty Beer,12,57,,Unterretzbach,Austria,2.5,8.0,,,,"Spicy Thai food, Grilled chicken, Fruit salad",,,,,,Fruit Beer,Shandy,Egger.
37303,137324,Gaffel Gaffel Lemon Radler,3580,4.732999999999995,Beer,Specialty Beer,12,57,,Cologne,Germany,2.5,8.0,,,,"Salad, Grilled Chicken, Fruit",,,,,,Fruit Beer,Shandy,Gaffel.
37320,137341,Kazimierz Pulaski Warka Radler Beer,8929,4.706000000000003,Beer,Specialty Beer,12,57,,Warka,Poland,2.5,8.0,,,,"Grilled chicken, Citrus salad, Lemon sorbet",,,,,,Fruit Beer,Shandy,Warka
37323,137344,Konig Radler Grapefuit Shandy,4815,4.7129999999999965,Beer,Specialty Beer,12,57,,Duisburg,Germany,2.5,16.0,,,,"Spicy Thai food, Grilled chicken, Citrus salad",,,,,,Fruit Beer,Shandy,Konig.
37324,137345,Krombacher Radler,4833,4.7129999999999965,Beer,Specialty Beer,12,57,,Kreuztal,Germany,2.5,16.0,,,,"Suggested food pairings for Krombacher Radler: Salads, Grilled chicken, Seafood",,,,,,Fruit Beer,Shandy,Krombacher
37334,137355,Lowenbrau Radler,5248,4.609,Beer,Specialty Beer,12,57,,Munich,Germany,2.5,7.0,,,,"Grilled chicken, Salad, Fruit",,,,,,Fruit Beer,Shandy,Lowenbrau
37349,137370,Ottakringer Citrus Radler,6288,4.702333333333333,Beer,Specialty Beer,12,57,,Vienna,Austria,2.0,8.0,,,,"Spicy Thai curry, Grilled shrimp, Mixed greens salad",,,,,,Fruit Beer,Shandy,Ottakringer Brauerei
37352,137373,Pfungstadter Radler 50 L,6473,4.698333333333331,Beer,Specialty Beer,12,57,,Pfungstadt,Germany,2.5,12.0,,,,"Suggested food pairings: Grilled chicken, Salad, Pretzels",,,,,,Fruit Beer,Shandy,Pfungstadter.
37370,137391,Schloss Eggenberg Eggenberg Pink Grapefruit Radler,7288,4.7280000000000015,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,Shandy,Schloss Eggenberg.
37371,137392,Schloss Eggenberg Pink Grapefruit Radler,7287,4.7280000000000015,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,Shandy,Schloss Eggenberg
37372,137393,Schloss Eggenberg Radler Pink Grapefruit Raddler,7287,4.7280000000000015,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Spicy Thai curry, Grilled shrimp, Mixed greens salad",,,,,,Fruit Beer,Shandy,Schloss Eggenberg
37373,137394,Schloss Eggenberg Radler Pink Grapefruit,7287,4.7280000000000015,Beer,Specialty Beer,12,57,,Vorchdorf,Austria,2.5,8.0,,,,"Spicy Thai curry, Grilled shrimp, Mixed greens salad",,,,,,Fruit Beer,Shandy,Schloss Eggenberg
37374,137395,Schofferhofer Juicy Pineapple Hefeweizen,7297,4.691000000000002,Beer,Specialty Beer,12,57,,Frankfurt,Germany,2.5,15.0,,,,"Spicy Thai curry, Grilled chicken, Tropical fruit salad",,,,,,Fruit Beer,Shandy,Schofferhofer
37386,137407,Stiegl Grapefruit Radler,7889,4.772,Beer,Specialty Beer,12,57,,Salzburg,Austria,2.5,35.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,Shandy,Stiegl
37387,137408,Stiegl Lemon Zitrone Radler,7889,4.699000000000003,Beer,Specialty Beer,12,57,,Salzburg,Austria,2.0,7.0,,,,"Fish, Chicken, Salad",,,,,,Fruit Beer,Shandy,Stiegl
37388,137409,Stiegl Raspberry Radler,7891,4.699000000000003,Beer,Specialty Beer,12,57,,Salzburg,Austria,2.5,8.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,Shandy,Stiegl.
37410,137431,Two Pitchers Nordic Jam,8667,4.714000000000003,Beer,Specialty Beer,12,57,,Reykjavik,Iceland,6.5,6.0,,,,"Spicy Thai curry, Grilled salmon, Dark chocolate.",,,,,,Fruit Beer,Shandy,Two Pitchers Brewing Company
37416,137437,Valentins Weissbier Premium Grapefruit Beer,8794,4.708000000000002,Beer,Specialty Beer,12,57,,Sonthofen,Germany,2.5,17.0,,,,"Spicy Thai curry, Grilled shrimp, Citrus salad",,,,,,Fruit Beer,Shandy,Valentins.
37419,137440,Warka Black Currant Radler,8929,4.704000000000002,Beer,Specialty Beer,12,57,,Warka,Poland,2.5,10.0,,,,"Spicy chicken wings, Grilled pork chops, Mixed berries salad",,,,,,Fruit Beer,Shandy,Warka
37420,137441,Warka Blackcurrant Radler,8929,4.704000000000002,Beer,Specialty Beer,12,57,,Warka,Poland,2.5,10.0,,,,"Spicy chicken wings, Grilled shrimp, Mixed berries",,,,,,Fruit Beer,Shandy,Warka
37421,137442,Warka Radler Lime,8929,4.706000000000003,Beer,Specialty Beer,12,57,,Warka,Poland,2.5,8.0,,,,"Spicy Thai food, Grilled chicken, Citrus salad",,,,,,Fruit Beer,Shandy,Warka
37422,137443,Warka Radler,8929,4.706000000000003,Beer,Specialty Beer,12,57,,Warka,Poland,2.5,8.0,,,,"Grilled chicken, Citrus salad, Light desserts",,,,,,Fruit Beer,Shandy,Warka
37423,137444,Wernesgruner Radler,8980,4.690000000000002,Beer,Specialty Beer,12,57,,Saxony,Germany,2.5,8.0,,,,"Sausages, Pretzels, Grilled Chicken",,,,,,Fruit Beer,Shandy,Wernesgrüner Brauerei
37467,137488,Stiegl Radler Zitrone Lemon Beer,7893,4.766000000000001,Beer,Specialty Beer,12,0,,Salzburg,Austria,2.0,35.0,,,,"Seafood, Salad, Grilled Chicken",,,,,,Fruit Beer,,Stieglbrauerei zu Salzburg GmbH
37468,137489,Stieglbrauerei Zu Salzburg Stiegl Radler Himbeere Raspberry Fruit Beer,7892,4.795000000000002,Beer,Specialty Beer,12,0,,Salzburg,Austria,2.5,15.0,,,,"Spicy Thai food, Grilled chicken, Mixed greens salad",,,,,,Fruit Beer,,Stieglbrauerei Zu Salzburg
37473,137494,Sweet Touch Lychee Fruit Beer,1690,4.691999999999996,Beer,Specialty Beer,12,0,,Melle,Belgium,4.5,10.0,,,,"Spicy Thai curry, Grilled shrimp, Fresh fruit salad",,,,,,Fruit Beer,,Brouwerij Huyghe
37488,137509,Ter Dolan Kriek,1668,4.7250000000000005,Beer,Specialty Beer,12,0,,Lembeek,Belgium,6.5,6.0,,,,"Chocolate, Duck, Lamb",,,,,,Fruit Beer,,Brouwerij Boon
37502,137523,To Ol Garden Of Eden,8444,4.8809999999999985,Beer,Specialty Beer,12,0,,Copenhagen,Denmark,6.5,35.0,,,,"Spicy Thai curry, Grilled chicken, Dark chocolate",,,,,,Fruit Beer,,To Ol
37503,137524,Tom Rivetts Man Margs,8451,4.8809999999999985,Beer,Specialty Beer,12,0,,London,United Kingdom,6.5,35.0,,,,"Spicy Mexican dishes, Grilled steak, Chocolate desserts",,,,,,Fruit Beer,,Tom Rivetts Brewing Company
37509,137530,Trois Dames Lamoureuse Blanche Blue Label,8558,4.908999999999999,Beer,Specialty Beer,12,0,,Sainte-Croix,Switzerland,6.5,25.0,,,,"Seafood, Salad, Light Pasta dishes",,,,,,Fruit Beer,,Trois Dames
37510,137531,Trois Dames Lamoureuse Blanche Yellow Label,8558,4.908999999999999,Beer,Specialty Beer,12,0,,Sainte-Croix,Switzerland,6.5,25.0,,,,"Seafood, Salad, Light Pasta dishes",,,,,,Fruit Beer,,Trois Dames
37531,137552,Verhaeghe Barbe Ruby,8838,4.8309999999999995,Beer,Specialty Beer,12,0,,West Flanders,Belgium,7.7,20.0,,,,"Steak, Blue Cheese, Dark Chocolate",,,,,,Fruit Beer,,Verhaeghe.
37540,137561,Wells And Young Banana Bread Beer,8970,4.755000000000001,Beer,Specialty Beer,12,0,,Bedford,United Kingdom,5.2,23.0,,,,"Banana bread, Spicy curry, Vanilla ice cream",,,,,,Fruit Beer,,Wells & Young's
37544,137565,Wild Black Lager,9089,4.771000000000001,Beer,Specialty Beer,12,0,,Somerset,United Kingdom,5.2,25.0,,,,"Grilled steak, Dark chocolate, Smoked Gouda",,,,,,Fruit Beer,,Wild Beer Co.
37550,137571,Wilderen Kriek Cherry,9125,4.772000000000002,Beer,Specialty Beer,12,0,,Sint-Truiden,Belgium,6.5,15.0,,,,"Chocolate, Duck, Salad",,,,,,Fruit Beer,,Wilderen
37554,137575,Wittekerke Rose,9160,4.731000000000003,Beer,Specialty Beer,12,0,,Bellegem,Belgium,4.3,9.0,,,,"Salad, Seafood, Cheesecake",,,,,,Fruit Beer,,Wittekerke
37574,137595,Old Danish Braggot,2569,4.659000000000001,Beer,Specialty Beer,14,15,,Roskilde,Denmark,8.5,30.0,,,,"Spicy sausage, Roasted duck, Blue cheese",,,,,,Honey Beer,Braggot,Dansk Mjød
37577,137598,Browar Jabloniwo Perla Honey Beer,1728,4.6659999999999995,Beer,Specialty Beer,14,0,,Jabloniwo,Poland,5.5,20.0,,,,"Spicy chicken wings, Grilled pork chops, Apple pie",,,,,,Honey Beer,,Browar Jabloniwo
37587,137608,Jablonowo Honey Beer,1729,4.621,Beer,Specialty Beer,14,0,,Jablonowo,Poland,5.5,25.0,,,,"Spicy chicken wings, Grilled pork chops, Honey-glazed carrots",,,,,,Honey Beer,,Browar Jablonowo.
37589,137610,Kultowy Browar Staropolski Golden Beehive Honey Beer,4851,4.929000000000001,Beer,Specialty Beer,14,0,,Krakow,Poland,5.5,25.0,,,,"Spicy chicken wings, Grilled pork chops, Cheesecake",,,,,,Honey Beer,,Kultowy Browar Staropolski
37590,137611,Kultowy Browar Staropolski Prl Miodowy Honey Beer,4851,4.785466666666667,Beer,Specialty Beer,14,0,,Krakow,Poland,5.5,20.0,,,,"Spicy chicken wings, BBQ ribs, Cheesecake",,,,,,Honey Beer,,Kultowy Browar Staropolski
37592,137613,Lomza Miodowe Honey Beer,1741,4.731,Beer,Specialty Beer,14,0,,Łomża,Poland,6.0,15.0,,,,"Spicy chicken wings, BBQ ribs, Apple pie",,,,,,Honey Beer,,Browar Łomża
37597,137618,Perla Honey Beer,6453,4.732333333333333,Beer,Specialty Beer,14,0,,Opole,Poland,5.6,20.0,,,,"Spicy chicken wings, Grilled shrimp, Honey-glazed ham",,,,,,Honey Beer,,Perla Brewery
37599,137620,Staropolskie Miodne Honey Beer,1723,4.681999999999999,Beer,Specialty Beer,14,0,,Ciechanów,Poland,6.0,35.0,,,,"Spicy chicken wings, BBQ ribs, Cheesecake",,,,,,Honey Beer,,Browar Ciechan
37621,137642,Lev Black Lion Premium Dark Czech Beer,6531,4.771999999999998,Beer,Specialty Beer,0,0,,Louny,Czech Republic,5.2,35.0,,,,"Steak, Chocolate desserts, Smoked meats",,,,,,,,Pivovar Louny
37653,137674,Browar Lomza Pelne Malt Liquor,1741,3.9959999999999987,Beer,Specialty Beer,19,0,,Łomża,Poland,7.0,25.0,,,,"Spicy chicken wings, BBQ ribs, Pulled pork tacos",,,,,,Malt Liquor,,Browar Łomża
37654,137675,Califresca Red Sangria,1898,3.9419999999999984,Beer,Specialty Beer,19,0,,Barcelona,Spain,5.5,15.0,,,,"Cheese, Charcuterie, Grilled Chicken",,,,,,Malt Liquor,,Califresca
37692,137713,Delicia Strawberries And Cream,1677,4.020999999999998,Beer,Specialty Beer,19,0,,Bodegraven,Netherlands,5.5,10.0,,,,"Cheesecake, Grilled Chicken, Dark Chocolate",,,,,,Malt Liquor,,Brouwerij De Molen
37762,137784,Happy Down Lemon Cucumber Mint,3980,3.7490000000000006,Beer,Specialty Beer,19,0,,London,United Kingdom,4.0,0.0,,,,"Salad, Grilled chicken, Seafood",,,,,,Malt Liquor,,Happy Down
37763,137785,Happy Down Lychee Guava Chili,3980,3.7490000000000006,Beer,Specialty Beer,19,0,,London,United Kingdom,4.0,6.0,,,,"Spicy Thai curry, Grilled shrimp, Mango salsa",,,,,,Malt Liquor,,Happy Down
37764,137786,Happy Down Raspberry Pomegranate Basil,3980,3.7490000000000006,Beer,Specialty Beer,19,0,,London,United Kingdom,4.0,5.0,,,,"Salad, Grilled Chicken, Cheesecake",,,,,,Malt Liquor,,Happy Down
37772,137794,Hoopers Hooch Red Brew Malt Beverage,4244,3.785,Beer,Specialty Beer,19,0,,London,United Kingdom,4.0,35.0,,,,"Spicy chicken wings, BBQ ribs, Jalapeno poppers",,,,,,Malt Liquor,,Hoopers Hooch
37814,137836,Lombardi Limonata Orange Lemonade Malt Beverage,5172,3.194,Beer,Specialty Beer,19,0,,Milan,Italy,4.2,5.0,,,,"Spicy chicken wings, Grilled shrimp, Citrus salad",,,,,,Malt Liquor,,Lombardi.
37818,137840,Lytt Cryo Candy,1564,4.017999999999999,Beer,Specialty Beer,19,0,,Copenhagen,Denmark,6.5,55.0,,,,"Spicy Thai curry, Grilled shrimp, Mango salsa",,,,,,Malt Liquor,,Brewery: Mikkeller
37858,137881,Mxd Mai Tai,5587,3.642,Beer,Specialty Beer,19,0,,Copenhagen,Denmark,6.5,20.0,,,,"Spicy Thai curry, Grilled pineapple skewers, Coconut shrimp",,,,,,Malt Liquor,,Mikkeller.
